Grigoryan
Harutyunyan
Sargsyan
Hovhannisyan
Khachatryan
Hakobyan
Petrosyan
Vardanyan
Gevorgyan
Karapetyan
Mkrtchyan
Ghazaryan
Manukyan
Avetisyan
Poghosyan
Martirosyan
Sahakyan
Arakelyan
Margaryan
Davtyan
Mammadov
Aliyev
Huseynov
Hasanov
Guliyev
Ismayilov
Ahmadov
Abdullayev
Abbasov
Jafarov
Akter
Islam
Khatun
Hossain
Rahman
Ahmed
Keo
Khat
Khay
Khiev
Khlot
Kim
Chhan
Bird
Chen
Chhorn
Chea
Cheam
Chin
Chim
Chey
Chhet
Chhim
Nhek
Duong
Dith
Din
Dul
Duong
Droplets
Tang
Tat
Taing


Ty


Tep
Thy

Khmer
Pang
Pok
Bun
Pen
Phan

means
Phy
Ma
Mean
Meas
Muy
Mul
Meng
Mao
Yos
Yun
Yu
Ros

Lim



Vang
Vong
Sor
Sang
Sam
Sor
Sang
Sat
San
Say
Sin
Son
Sok
Song
Son
Suy
So
Su
Soun

Sieng
Seng
Sen
Som


Hong
Hun
Ho

Long
Ang
Im
Ong
Uch
Uy
Eam
Iv
Um
Ek
Ok
Om
Wáng
Wong
Lǐ
Lee
Zhāng
Cheung
Liú
Lau
Chén
Chan
Yáng
Yeung
Huáng
Wong
Zhào
Chiu
Wú
Ng
Zhōu
Chow
Xú
Tsui
Sūn
Suen
Mǎ
Ma
Zhū
Chu
Hú
Wu
Guō
Kwok
Hé
Ho
Lín
Lam
Gāo
Ko
Luó
Law
Beridze
Mamedov
Mamedovi
Kapanadze
Gelashvili
Aliyev
Alievi
Maisuradze
Giorgadze
Lomidze
Tsiklauri
Bolkvadze
Kvaratskhelia
Nozadze
Khutsishvili
Shengelia
Abuladze
Mikeladze
Tabatadze
Mchedlishvili
Bairamov
Bairamovi
Gogoladze
Devi
Kumar
Singh
Sharma
Ali
Yadav
Patel
Cohen
Levi
Levy
Mizrachi
Mizrahi
Peretz
Biton
Dahan
Avraham
Friedman
Malka
Malcah
Azoulay
Katz
Yosef
David
Amar
Omer
Ohayon
Ochion
Hadad
Chadad
Gabai
Ben-David
Adrei
Edry
Edri
Adary
Levin
Tal
Klein
Chen
Khen
Shapira
Chazan
Hazan
Moshe
Ashkenazi
Ohana
Segal
Segel
Golan
Satō
Suzuki
Takahashi
Tanaka
Watanabe
Itō
Nakamura
Kobayashi
Yamamoto
Katō
Yoshida
Yamada
Sasaki
Yamaguchi
Matsumoto
Inoue
Kimura
Shimizu
Hayashi
Saitō
Saitō
Yamazaki
Yamasaki
Nakajima
Nakashima
Mori
Abe
Ikeda
Hashimoto
Ishikawa
Yamashita
Ogawa
Ishii
Hasegawa
Gotō
Okada
Kondō
Maeda
Fujita
Endō
Aoki
Sakamoto
Murakami
Ōta
Kaneko
Fujii
Fukuda
Nishimura
Miura
Takeuchi
Nakagawa
Okamoto
Matsuda
Harada
Nakano
Ono
Tamura
Fujiwara
Fujihara
Nakayama
Ishida
Kojima
Wada
Morita
Uchida
Shibata
Sakai
Hara
Takagi
Takaki
Yokoyama
Andō
Miyazaki
Miyasaki
Ueda
Ueta
Shimada
Kudō
Ōno
Miyamoto
Sugiyama
Imai
Maruyama
Masuda
Takada
Takata
Murata
Hirano
Ōtsuka
Sugawara
Sugahara
Takeda
Taketa
Arai
Koyama
Oyama
Noguchi
Sakurai
Chiba
Iwasaki
Sano
Taniguchi
Ueno
Matsui
Kōno
Kawano
Ichikawa
Watanabe
Watabe
Nomura
Kikuchi
Kinoshita
Ahmetov
Omarov
Kim
Ospanov
Ivanov
Aliev
Suleimenov
Iskakov
Abdrahmanov
Ibragimov
Kaliev
Sadykov
Ibraev
Kuznetsov
Popov
Smagulov
Abdullaev
Isaev
Sultanov
Iusupov
Ismailov
Nurgaliev
Karimov
Серик
Li
Tsoi
Amangeldy
Bolat
Bondarenko
Marat
Серикбай
Murat
Kusainov
Kim
Gim
Ghim
Lee
Yi
Rhee
Park
Pak
Bak
Choi
Choe
Choy
Joy
Jeong
Chung
Cheong
Jung
Young
Kang
Gang
Ghang
Cho
Jo
Joe
Yoon
Yun
Youn
Jang
Chang
Lim
Rim
Im
Rhim
Han

O
Oh
Seo
Suh
Seoh
Shin
Sin
Kwon
Gwon
Kuen
Hwang
Huang
Ahn
An
Song

Yoo
Yu
Ryu
Ryoo
Jeon
Jun
Chun
Cheon
Hong

Ko
Koh
Go
Goh
Mun
Moon
Mon
Munn
Yang
Ryang

Son
Sohn
Sonn
Bae
Bai
Pai
Pae
Jo
Cho
Baek
Paik
Pak
Bak
Bhak
Phak
Hur
Heo
Her
Hui
Yu
Yoo
Liu
Lau
Yau
Nam
Nan
Nham
Sim
Shim
Shen
No
Noh
Roh
Jeong
Jung
Ha
Hah
Gwak
Kwak
Koak
Seong
Sung
Shong
Shung
Cha

Ju
Joo
Chu
Zhu
Zuu
Juu
Choo
Woo
U
Gu
Koo
Goo
Sin
Shin
Im
Yim
Na
Ra
La
Jeon
Jun
Min

Yu
Yoo
Jin
Jean
Chen
Jen
Ji
Jee
Eom
Uhm
Um
Chaudhary
Chowdhury
Tamang
Gurung
Thapa
Rana
Yadav
Magar
Rai
Shrestha
Lama
Chhetri
Chetry
Shah
Sah 
Sharma
Singh
Bishwakarma
Maharjan
Nepali 
Pariyar
Pokharel
Pokhrel 
Tharu
dela Cruz
Garcia
Reyes
Ramos
Mendoza
Santos
Flores
Gonzales
Bautista
Villanueva
Fernandez
Cruz
de Guzman
Lopez
Perez
Castillo
Francisco
Rivera
Aquino
Castro
Sanchez
Torres
de Leon
Domingo
Martinez
Rodriguez
Santiago
Soriano
delos Santos
Diaz
Hernandez
Tolentino
Valdez
Ramirez
Morales
Mercado
Tan
Aguilar
Navarro
Manalo
Gomez
Dizon
del Rosario
Javier
Corpuz
Gutierrez
Salvador
Velasco
Miranda
David
Smirnov
Ivanov
Kuznetsov
Popov
Sokolov
Lebedev
Kozlov
Novikov
Morozov
Petrov
Volkov
Solovyov
Vasilyev
Zaytsev
Pavlov
Semyonov
Golubev
Vinogradov
Bogdanov
Vorobyov
Perera
Fernando
de Silva
Bandara
Kumara
Dissanayake
Mohamed
Gamage
Liyanage
Jayasinghe
Ranasinghe
Herath
Weerasinghe
Peiris
Rathnayake
Wickramasinghe
Wijesinghe
Hettiarachchi
Nanayakkara
Ahamed
Rajapaksha
Mendis
Pathirana
Ekanayake
Gunasekara
Dias
Sampath
Amarasinghe
Ratnayake
Chathuranga
Senanayake
Samarasinghe
Lakmal
Munasinghe
Rodrigo
Seneviratne
Rathnayaka
Edirisinghe
Jayawardena
Fonseka
Sanjeewa
Gunawardana
Gunawardena
Karunaratne
Jayaweera
Jayasekara
Ranaweera
Jayawardana
Jayasuriya
Madusanka
Yılmaz
Kaya
Demir
Şahin
Çelik
Yıldız
Yıldırım
Öztürk
Aydın
Özdemir
Arslan
Doğan
Kılıç
Aslan
Çetin
Kara
Koç
Kurt
Özkan
Şimşek
Nguyễn
Trần
Lê
Phạm
Huỳnh/Hoàng
Phan
Vũ/Võ
Đặng
Bùi
Đỗ
Hồ
Ngô
Dương
Lý
Phí
Đào
Đoàn
Vương
Trịnh
Trương
Lâm
Phùng
Mai
Tô
Hà
Tạ
Thân
Trác
Tống
Hoa
Khúc
Từ
Thường
Tiêu
Ngọ
Kim
Quách
Đàm
Triệu
Mạc
Thái
Lưu
Thạch
Lương
Chén
Ch'en
Can
